"ฉัน","person_i.gif","บุคคล",NULL,NULL,"10"
"คุณ","person_you.gif","บุคคล",NULL,NULL,"20"
"พวกเรา","person_we.gif","บุคคล",NULL,NULL,"30"
"ต้องการ","emotion_want.gif","อารมณ์",NULL,NULL,"10"
"ไม่ต้องการ","emotion_not_want.gif","อารมณ์",NULL,NULL,"20"
"รัก","emotion_love.gif","อารมณ์",NULL,NULL,"30"
"ไม่ชอบ","emotion_not_like.gif","อารมณ์",NULL,NULL,"40"
"เกลียด","emotion_hate.gif","อารมณ์",NULL,NULL,"50"
"กลัว","emotion_fear.gif","อารมณ์",NULL,NULL,"60"
"หนึ่ง","number_one.gif","จำนวน",NULL,NULL,"10"
"สอง","number_two.gif","จำนวน",NULL,NULL,"20"
"สาม","number_three.gif","จำนวน",NULL,NULL,"30"
"สี่","number_four.gif","จำนวน",NULL,NULL,"40"
"ห้า","number_five.gif","จำนวน",NULL,NULL,"50"
"หก","number_six.gif","จำนวน",NULL,NULL,"60"
"เจ็ด","number_seven.gif","จำนวน",NULL,NULL,"70"
"แปด","number_eight.gif","จำนวน",NULL,NULL,"80"
"เก้า","number_nine.gif","จำนวน",NULL,NULL,"90"
"สิบ","number_ten.gif","จำนวน",NULL,NULL,"100"
"ร้อย","number_hundred.gif","จำนวน",NULL,NULL,"110"
"พัน","number_thousand.gif","จำนวน",NULL,NULL,"120"
"หมื่น","number_ten_thousand.gif","จำนวน",NULL,NULL,"130"
"แสน","number_hundred_thousand.gif","จำนวน",NULL,NULL,"140"
"ล้าน","number_million.gif","จำนวน",NULL,NULL,"150"
"one","number_one.gif","number",NULL,NULL,"10"
"two","number_two.gif","number",NULL,NULL,"20"
